BIIN,
371782,
374614,
376013,
376014,
376469,
377064,
377130,
377132,
402396,
410970,
412983,
412985,
424495,
424496,
446223,
446238,
446242,
446250,
446271,
446272,
446274,
446291,
446292,
449353,
450197,
450198,
450823,
450875,
453978,
453979,
454313,
454495,
454638,
454742,
455206,
456726,
456726,
456727,
456735,
456738,
459607,
459654,
465838,
465855,
465858,
465859,
465861,
465862,
465901,
465902,
465910,
465911,
465921,
465922,
465923,
465935,
465941,
465942,
465943,
465944,
465946,
465946,
465950,
465950,
472628,
475111,
475114,
475117,
475126,
475127,
475128,
475129,
475130,
475131,
475132,
475139,
475140,
475141,
475141,
475142,
475144,
475144,
475145,
475714,
475730,
475732,
475747,
475748,
475751,
475753,
476223,
476248,
476363,
476365,
476365,
476367,
476367,
476368,
481817,
481818,
481876,
481877,
481882,
481885,
481892,
481893,
481893,
481896,
481897,
481898,
482172,
482175,
482176,
482177,
482178,
482179,
482179,
482180,
482190,
482191,
483204,
483205,
483205,
483206,
483208,
483211,
486483,
489055,
489396,
491601,
491735,
492181,
492182,
492910,
492912,
492913,
492914,
492914,
492915,
492916,
492917,
492919,
492925,
492934,
492940,
492942,
492943,
492945,
492947,
492953,
492962,
492980,
492992,
498752,
498824,
512687,
518645,
518652,
518791,
522948,
524679,
525302,
525303,
525303,
528683,
528689,
529930,
529932,
530127,
531200,
531306,
535298,
535420,
535495,
535522,
535560,
535562,
536839,
538676,
540152,
540222,
540453,
540758,
542011,
542195,
542502,
542598,
543429,
543460,
543480,
543556,
543699,
545100,
545140,
545142,
545460,
545578,
546016,
546096,
546097,
546811,
546895,
552073,
552188,
552213,
555002,
556677,
556950,
557349,
557351,
557357,
557361,
557366,
557379,
557385,
557403,
557435,
4818 76,
5573 49,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
